,sharpe
1333 JT & 1925 JT,2.1865135839043988
2002 JT & 2282 JT,2.0943540827924436
3101 JT & 6701 JT,2.3098969998440806
4004 JT & 5706 JT,2.137614509662268
4183 JT & 7733 JT,2.051516799180693
4543 JT & 6302 JT,2.188669796467281
5631 JT & 6702 JT,2.576582489641321
5631 JT & 8031 JT,2.2869975786897228
